locationabbr,income,obesity_pct,income_mid,state_median_income,rel_income,state_inc_quintile,rel_income_c,state_inc_c,income_bin
ID,15000 - 24999,32.073615113672744,19999.5,73910,-53910.5,Q2,-0.5282614606495072,-0.5710658828391935,15-24k
ID,25000 - 34999,31.09731222385862,29999.5,73910,-43910.5,Q2,-0.13453110153632317,-0.5710658828391935,25-34k
ID,35000 - 49999,31.33,42499.5,73910,-31410.5,Q2,0.3576318473551568,-0.5710658828391935,35-49k
ID,50000 - 74999,30.85844267790441,62499.5,73910,-11410.5,Q2,1.1450925655815247,-0.5710658828391935,50-74k
ID,75000 or greater,26.05004635352287,75000.0,73910,1090.0,Q2,1.6372752009909604,-0.5710658828391935,50-74k
ID,Less than 15000,32.349915872125635,15000.0,73910,-58910.0,Q2,-0.7251069536881435,-0.5710658828391935,<15k
IL,15000 - 24999,34.43602932041248,19999.5,87820,-67820.5,Q4,-1.0759403901759461,0.49997138866101,15-24k
IL,25000 - 34999,32.58137637460092,29999.5,87820,-57820.5,Q4,-0.6822100310627621,0.49997138866101,25-34k
IL,35000 - 49999,32.27054253181514,42499.5,87820,-45320.5,Q4,-0.19004708217128213,0.49997138866101,35-49k
IL,50000 - 74999,32.0330260791367,62499.5,87820,-25320.5,Q4,0.5974136360550859,0.49997138866101,50-74k
IL,75000 or greater,27.918107954545455,75000.0,87820,-12820.0,Q4,1.0895962714645215,0.49997138866101,50-74k
IL,Less than 15000,36.015464353712716,15000.0,87820,-72820.0,Q4,-1.2727858832145824,0.49997138866101,<15k
IN,15000 - 24999,37.06859932497589,19999.5,76910,-56910.5,Q2,-0.6463805683834624,-0.34007294146603667,15-24k
IN,25000 - 34999,35.79308621407746,29999.5,76910,-46910.5,Q2,-0.25265020927027837,-0.34007294146603667,25-34k
IN,35000 - 49999,35.4498699045967,42499.5,76910,-34410.5,Q2,0.23951273962120162,-0.34007294146603667,35-49k
IN,50000 - 74999,35.60225144203932,62499.5,76910,-14410.5,Q2,1.0269734578475695,-0.34007294146603667,50-74k
IN,75000 or greater,30.60721272433444,75000.0,76910,-1910.0,Q2,1.5191560932570052,-0.34007294146603667,50-74k
IN,Less than 15000,37.769805160610844,15000.0,76910,-61910.0,Q2,-0.8432260614220987,-0.34007294146603667,<15k
KS,15000 - 24999,35.56455888259182,19999.5,84830,-64830.5,Q4,-0.9582150128011041,0.26974842375909713,15-24k
KS,25000 - 34999,35.2004305646392,29999.5,84830,-54830.5,Q4,-0.5644846536879201,0.26974842375909713,25-34k
KS,35000 - 49999,34.880019071079495,42499.5,84830,-42330.5,Q4,-0.07232170479644011,0.26974842375909713,35-49k
KS,50000 - 74999,34.39157739454182,62499.5,84830,-22330.5,Q4,0.7151390134299279,0.26974842375909713,50-74k
KS,75000 or greater,29.810586360013662,75000.0,84830,-9830.0,Q4,1.2073216488393634,0.26974842375909713,50-74k
KS,Less than 15000,37.580928337319506,15000.0,84830,-69830.0,Q4,-1.1550605058397405,0.26974842375909713,<15k
KY,15000 - 24999,38.04448345035105,19999.5,61980,-41980.5,Q1(low),-0.058541142227478665,-1.4896478130331134,15-24k
KY,25000 - 34999,37.24521659618242,29999.5,61980,-31980.5,Q1(low),0.3351892168857053,-1.4896478130331134,25-34k
KY,35000 - 49999,35.62536900369004,42499.5,61980,-19480.5,Q1(low),0.8273521657771853,-1.4896478130331134,35-49k
KY,50000 - 74999,35.97237425726002,62499.5,61980,519.5,Q1(low),1.6148128840035534,-1.4896478130331134,50-74k
KY,75000 or greater,30.96129913933473,75000.0,61980,13020.0,Q1(low),2.106995519412989,-1.4896478130331134,50-74k
KY,Less than 15000,37.23747875100653,15000.0,61980,-46980.0,Q1(low),-0.255386635266115,-1.4896478130331134,<15k
LA,15000 - 24999,39.223734713915924,19999.5,57650,-37650.5,Q1(low),0.11194410326852999,-1.823047625081703,15-24k
LA,25000 - 34999,37.55303684513529,29999.5,57650,-27650.5,Q1(low),0.505674462381714,-1.823047625081703,25-34k
LA,35000 - 49999,37.70491301151679,42499.5,57650,-15150.5,Q1(low),0.9978374112731939,-1.823047625081703,35-49k
LA,50000 - 74999,36.89178017848756,62499.5,57650,4849.5,Q1(low),1.785298129499562,-1.823047625081703,50-74k
LA,75000 or greater,34.002534340659345,75000.0,57650,17350.0,Q1(low),2.2774807649089976,-1.823047625081703,50-74k
LA,Less than 15000,39.78038735270097,15000.0,57650,-42650.0,Q1(low),-0.08490138977010633,-1.823047625081703,<15k
MA,15000 - 24999,28.86085834578297,19999.5,106500,-86500.5,Q5(high),-1.8114287009993737,1.9382874369445326,15-24k
MA,25000 - 34999,26.725848361450456,29999.5,106500,-76500.5,Q5(high),-1.4176983418861897,1.9382874369445326,25-34k
MA,35000 - 49999,27.01997186018957,42499.5,106500,-64000.5,Q5(high),-0.9255353929947098,1.9382874369445326,35-49k
MA,50000 - 74999,26.756567145841014,62499.5,106500,-44000.5,Q5(high),-0.13807467476834184,1.9382874369445326,50-74k
MA,75000 or greater,21.11064109165808,75000.0,106500,-31500.0,Q5(high),0.3541079606410938,1.9382874369445326,50-74k
MA,Less than 15000,31.216235195472176,15000.0,106500,-91500.0,Q5(high),-2.00827419403801,1.9382874369445326,<15k
MD,15000 - 24999,34.889998802968634,19999.5,102000,-82000.5,Q5(high),-1.634250039398441,1.5917980248847976,15-24k
MD,25000 - 34999,34.048860878415404,29999.5,102000,-72000.5,Q5(high),-1.240519680285257,1.5917980248847976,25-34k
MD,35000 - 49999,35.182745935682924,42499.5,102000,-59500.5,Q5(high),-0.748356731393777,1.5917980248847976,35-49k
MD,50000 - 74999,33.023309141101564,62499.5,102000,-39500.5,Q5(high),0.03910398683259096,1.5917980248847976,50-74k
MD,75000 or greater,28.191489828772138,75000.0,102000,-27000.0,Q5(high),0.5312866222420266,1.5917980248847976,50-74k
MD,Less than 15000,35.44337404932013,15000.0,102000,-87000.0,Q5(high),-1.8310955324370772,1.5917980248847976,<15k
ME,15000 - 24999,33.77170068800819,19999.5,75740,-55740.5,Q2,-0.6003141163672199,-0.43016018860156785,15-24k
ME,25000 - 34999,32.36742111471543,29999.5,75740,-45740.5,Q2,-0.20658375725403585,-0.43016018860156785,25-34k
ME,35000 - 49999,31.845457707693203,42499.5,75740,-33240.5,Q2,0.28557919163744416,-0.43016018860156785,35-49k
ME,50000 - 74999,30.912092951360258,62499.5,75740,-13240.5,Q2,1.0730399098638121,-0.43016018860156785,50-74k
ME,75000 or greater,26.565452930728245,75000.0,75740,-740.0,Q2,1.5652225452732478,-0.43016018860156785,50-74k
ME,Less than 15000,35.93980032638955,15000.0,75740,-60740.0,Q2,-0.7971596094058562,-0.43016018860156785,<15k
MI,15000 - 24999,37.42636835278859,19999.5,76960,-56960.5,Q2,-0.6483492201790283,-0.3362230591098174,15-24k
MI,25000 - 34999,34.87187575054038,29999.5,76960,-46960.5,Q2,-0.2546188610658443,-0.3362230591098174,25-34k
MI,35000 - 49999,34.69556309622895,42499.5,76960,-34460.5,Q2,0.23754408782563569,-0.3362230591098174,35-49k
MI,50000 - 74999,33.82272444066837,62499.5,76960,-14460.5,Q2,1.0250048060520036,-0.3362230591098174,50-74k
MI,75000 or greater,29.379036238014663,75000.0,76960,-1960.0,Q2,1.5171874414614392,-0.3362230591098174,50-74k
MI,Less than 15000,37.591810573153936,15000.0,76960,-61960.0,Q2,-0.8451947132176646,-0.3362230591098174,<15k
MN,15000 - 24999,32.605792635957485,19999.5,90340,-70340.5,Q4,-1.1751604406724685,0.6940054594144617,15-24k
MN,25000 - 34999,30.805053255870245,29999.5,90340,-60340.5,Q4,-0.7814300815592845,0.6940054594144617,25-34k
MN,35000 - 49999,30.821266144399743,42499.5,90340,-47840.5,Q4,-0.28926713266780446,0.6940054594144617,35-49k
MN,50000 - 74999,31.427522565000675,62499.5,90340,-27840.5,Q4,0.49819358555856347,0.6940054594144617,50-74k
MN,75000 or greater,26.366200297287257,75000.0,90340,-15340.0,Q4,0.9903762209679992,0.6940054594144617,50-74k
MN,Less than 15000,31.814217252396165,15000.0,90340,-75340.0,Q4,-1.3720059337111048,0.6940054594144617,<15k
MO,15000 - 24999,36.1224632555215,19999.5,78290,-58290.5,Q2,-0.7007153579410818,-0.2338161884343846,15-24k
MO,25000 - 34999,35.94627813683976,29999.5,78290,-48290.5,Q2,-0.30698499882789776,-0.2338161884343846,25-34k
MO,35000 - 49999,34.9122816032888,42499.5,78290,-35790.5,Q2,0.18517795006358223,-0.2338161884343846,35-49k
MO,50000 - 74999,34.60028130525639,62499.5,78290,-15790.5,Q2,0.9726386682899502,-0.2338161884343846,50-74k
MO,75000 or greater,31.38367938754205,75000.0,78290,-3290.0,Q2,1.4648213036993858,-0.2338161884343846,50-74k
MO,Less than 15000,37.085655029381265,15000.0,78290,-63290.0,Q2,-0.897560850979718,-0.2338161884343846,<15k
MS,15000 - 24999,41.1812440645774,19999.5,55060,-35060.5,Q1(low),0.21392026627884464,-2.0224715311338617,15-24k
MS,25000 - 34999,39.29011805279215,29999.5,55060,-25060.5,Q1(low),0.6076506253920286,-2.0224715311338617,25-34k
MS,35000 - 49999,37.84601867780782,42499.5,55060,-12560.5,Q1(low),1.0998135742835087,-2.0224715311338617,35-49k
MS,50000 - 74999,37.06012316199573,62499.5,55060,7439.5,Q1(low),1.8872742925098767,-2.0224715311338617,50-74k
MS,75000 or greater,32.313626147218585,75000.0,55060,19940.0,Q1(low),2.3794569279193123,-2.0224715311338617,50-74k
MS,Less than 15000,41.678303393213575,15000.0,55060,-40060.0,Q1(low),0.017074773240208316,-2.0224715311338617,<15k
MT,15000 - 24999,28.114653834212973,19999.5,79220,-59220.5,Q3,-0.7373322813386078,-0.162208376608706,15-24k
MT,25000 - 34999,27.432873851294904,29999.5,79220,-49220.5,Q3,-0.34360192222542385,-0.162208376608706,25-34k
MT,35000 - 49999,27.49255542968118,42499.5,79220,-36720.5,Q3,0.1485610266660561,-0.162208376608706,35-49k
MT,50000 - 74999,27.75489026535138,62499.5,79220,-16720.5,Q3,0.9360217448924241,-0.162208376608706,50-74k
MT,75000 or greater,24.83893984514592,75000.0,79220,-4220.0,Q3,1.4282043803018598,-0.162208376608706,50-74k
MT,Less than 15000,30.526939426142402,15000.0,79220,-64220.0,Q3,-0.9341777743772443,-0.162208376608706,<15k
NC,15000 - 24999,35.52324760463944,19999.5,68610,-48610.5,Q1(low),-0.31958437031951964,-0.979153412598437,15-24k
NC,25000 - 34999,34.24124373634846,29999.5,68610,-38610.5,Q1(low),0.07414598879366434,-0.979153412598437,25-34k
NC,35000 - 49999,33.235734627149036,42499.5,68610,-26110.5,Q1(low),0.5663089376851443,-0.979153412598437,35-49k
NC,50000 - 74999,32.147057013945854,62499.5,68610,-6110.5,Q1(low),1.3537696559115122,-0.979153412598437,50-74k
NC,75000 or greater,27.22488499316176,75000.0,68610,6390.0,Q1(low),1.8459522913209478,-0.979153412598437,50-74k
NC,Less than 15000,35.79839507823994,15000.0,68610,-53610.0,Q1(low),-0.516429863358156,-0.979153412598437,<15k
ND,15000 - 24999,34.39123310118804,19999.5,76960,-56960.5,Q2,-0.6483492201790283,-0.3362230591098174,15-24k
ND,25000 - 34999,33.98360037700283,29999.5,76960,-46960.5,Q2,-0.2546188610658443,-0.3362230591098174,25-34k
ND,35000 - 49999,34.27587453482191,42499.5,76960,-34460.5,Q2,0.23754408782563569,-0.3362230591098174,35-49k
ND,50000 - 74999,34.305505819158455,62499.5,76960,-14460.5,Q2,1.0250048060520036,-0.3362230591098174,50-74k
ND,75000 or greater,31.672400453889004,75000.0,76960,-1960.0,Q2,1.5171874414614392,-0.3362230591098174,50-74k
ND,Less than 15000,34.53552421500798,15000.0,76960,-61960.0,Q2,-0.8451947132176646,-0.3362230591098174,<15k
NE,15000 - 24999,33.79020879355804,19999.5,89190,-69190.5,Q4,-1.1298814493744522,0.6054581652214183,15-24k
NE,25000 - 34999,33.9312550900371,29999.5,89190,-59190.5,Q4,-0.7361510902612683,0.6054581652214183,25-34k
NE,35000 - 49999,33.96258036720355,42499.5,89190,-46690.5,Q4,-0.24398814136978833,0.6054581652214183,35-49k
NE,50000 - 74999,33.80541552597627,62499.5,89190,-26690.5,Q4,0.5434725768565797,0.6054581652214183,50-74k
NE,75000 or greater,29.36460077667288,75000.0,89190,-14190.0,Q4,1.0356552122660152,0.6054581652214183,50-74k
NE,Less than 15000,34.30926958650707,15000.0,89190,-74190.0,Q4,-1.3267269424130885,0.6054581652214183,<15k
NH,15000 - 24999,32.127376565954314,19999.5,98780,-78780.5,Q5(high),-1.5074688637639957,1.343865601144276,15-24k
NH,25000 - 34999,30.91477832512315,29999.5,98780,-68780.5,Q5(high),-1.1137385046508117,1.343865601144276,25-34k
NH,35000 - 49999,31.343248875726665,42499.5,98780,-56280.5,Q5(high),-0.6215755557593318,1.343865601144276,35-49k
NH,50000 - 74999,30.01532400849858,62499.5,98780,-36280.5,Q5(high),0.16588516246703622,1.343865601144276,50-74k
NH,75000 or greater,25.952451004349737,75000.0,98780,-23780.0,Q5(high),0.6580677978764718,1.343865601144276,50-74k
NH,Less than 15000,36.81476115010187,15000.0,98780,-83780.0,Q5(high),-1.704314356802632,1.343865601144276,<15k
NJ,15000 - 24999,30.618251091218468,19999.5,91590,-71590.5,Q4,-1.2243767355616164,0.7902525183199437,15-24k
NJ,25000 - 34999,30.819059929494713,29999.5,91590,-61590.5,Q4,-0.8306463764484324,0.7902525183199437,25-34k
NJ,35000 - 49999,29.518909024345596,42499.5,91590,-49090.5,Q4,-0.3384834275569525,0.7902525183199437,35-49k
NJ,50000 - 74999,28.07577648560488,62499.5,91590,-29090.5,Q4,0.4489772906694155,0.7902525183199437,50-74k
NJ,75000 or greater,23.867074593733104,75000.0,91590,-16590.0,Q4,0.9411599260788511,0.7902525183199437,50-74k
NJ,Less than 15000,31.73280603193377,15000.0,91590,-76590.0,Q4,-1.4212222286002527,0.7902525183199437,<15k
NM,15000 - 24999,31.715648854961827,19999.5,60980,-40980.5,Q1(low),-0.01916810631616027,-1.566645460157499,15-24k
NM,25000 - 34999,30.96847048777885,29999.5,60980,-30980.5,Q1(low),0.3745622527970237,-1.566645460157499,25-34k
NM,35000 - 49999,29.62640316951231,42499.5,60980,-18480.5,Q1(low),0.8667252016885038,-1.566645460157499,35-49k
NM,50000 - 74999,30.47549778761062,62499.5,60980,1519.5,Q1(low),1.6541859199148716,-1.566645460157499,50-74k
NM,75000 or greater,25.676972674240094,75000.0,60980,14020.0,Q1(low),2.1463685553243073,-1.566645460157499,50-74k
NM,Less than 15000,33.43782911328559,15000.0,60980,-45980.0,Q1(low),-0.2160135993547966,-1.566645460157499,<15k
NV,15000 - 24999,27.798335315101074,19999.5,81310,-61310.5,Q3,-0.8196219263932634,-0.001283294118740133,15-24k
NV,25000 - 34999,31.05708511650024,29999.5,81310,-51310.5,Q3,-0.4258915672800793,-0.001283294118740133,25-34k
NV,35000 - 49999,29.349935436266378,42499.5,81310,-38810.5,Q3,0.06627138161140066,-0.001283294118740133,35-49k
NV,50000 - 74999,27.87836157313851,62499.5,81310,-18810.5,Q3,0.8537320998377687,-0.001283294118740133,50-74k
NV,75000 or greater,26.096801864801865,75000.0,81310,-6310.0,Q3,1.3459147352472043,-0.001283294118740133,50-74k
NV,Less than 15000,30.502970616725865,15000.0,81310,-66310.0,Q3,-1.0164674194318997,-0.001283294118740133,<15k
NY,15000 - 24999,30.734124136866875,19999.5,81600,-61600.5,Q3,-0.8310401068075457,0.021046023547331687,15-24k
NY,25000 - 34999,29.647849548538765,29999.5,81600,-51600.5,Q3,-0.43730974769436165,0.021046023547331687,25-34k
NY,35000 - 49999,29.752372935341494,42499.5,81600,-39100.5,Q3,0.05485320119711832,0.021046023547331687,35-49k
NY,50000 - 74999,28.639888846301268,62499.5,81600,-19100.5,Q3,0.8423139194234863,0.021046023547331687,50-74k
NY,75000 or greater,23.561463445193894,75000.0,81600,-6600.0,Q3,1.334496554832922,0.021046023547331687,50-74k
NY,Less than 15000,32.8197597296959,15000.0,81600,-66600.0,Q3,-1.027885599846182,0.021046023547331687,<15k
OH,15000 - 24999,36.41561431202315,19999.5,73770,-53770.5,Q2,-0.5227492356219225,-0.5818455534366074,15-24k
OH,25000 - 34999,35.38494107641842,29999.5,73770,-43770.5,Q2,-0.1290188765087386,-0.5818455534366074,25-34k
OH,35000 - 49999,35.532450195111934,42499.5,73770,-31270.5,Q2,0.3631440723827414,-0.5818455534366074,35-49k
OH,50000 - 74999,35.176389668725434,62499.5,73770,-11270.5,Q2,1.1506047906091093,-0.5818455534366074,50-74k
OH,75000 or greater,30.36198811312128,75000.0,73770,1230.0,Q2,1.642787426018545,-0.5818455534366074,50-74k
OH,Less than 15000,37.70926489429853,15000.0,73770,-58770.0,Q2,-0.719594728660559,-0.5818455534366074,<15k
OK,15000 - 24999,37.44019323671498,19999.5,67330,-47330.5,Q1(low),-0.2691868843530321,-1.0777104009176506,15-24k
OK,25000 - 34999,35.01615218134184,29999.5,67330,-37330.5,Q1(low),0.12454347476015189,-1.0777104009176506,25-34k
OK,35000 - 49999,36.79189066059226,42499.5,67330,-24830.5,Q1(low),0.6167064236516319,-1.0777104009176506,35-49k
OK,50000 - 74999,36.50962257432793,62499.5,67330,-4830.5,Q1(low),1.404167141878,-1.0777104009176506,50-74k
OK,75000 or greater,32.31924139663401,75000.0,67330,7670.0,Q1(low),1.8963497772874356,-1.0777104009176506,50-74k
OK,Less than 15000,37.235569795200405,15000.0,67330,-52330.0,Q1(low),-0.4660323773916684,-1.0777104009176506,<15k
OR,15000 - 24999,32.63425151092515,19999.5,88740,-68740.5,Q4,-1.112163583214359,0.5708092240154448,15-24k
OR,25000 - 34999,29.60189529283828,29999.5,88740,-58740.5,Q4,-0.718433224101175,0.5708092240154448,25-34k
OR,35000 - 49999,31.270923656927422,42499.5,88740,-46240.5,Q4,-0.22627027520969506,0.5708092240154448,35-49k
OR,50000 - 74999,29.634406165004535,62499.5,88740,-26240.5,Q4,0.561190443016673,0.5708092240154448,50-74k
