,Veg less than 1 per day,Fruit less than 1 per day,+150m of PA,+150m of PA + strength,+300m of PA,+2 days Strength Training,No Phys Activity
15000 - 24999,0.6038755430972674,-0.07811600746077202,-0.67176457908051,-0.653385028316313,-0.590553737892262,-0.5429663405448475,0.59972284351263
25000 - 34999,0.5106903155462673,-0.019099946693080388,-0.595324673503475,-0.5777336775793629,-0.4866771885796901,-0.4847177832099653,0.5685655108139647
35000 - 49999,0.3156038119863268,0.14509964416109836,-0.4680696906799366,-0.5837213675327937,-0.3307013484561967,-0.49530365329490994,0.5352799393935023
50000 - 74999,0.5401960674454117,0.046078115849621015,-0.5805997592583535,-0.5398246343116998,-0.5033152192055874,-0.533349299773742,0.6470854925474762
75000 or greater,0.7357564798330356,0.48555389425801493,-0.573400239393621,-0.7030360982378288,-0.42638577424214247,-0.6698308400369823,0.6790375982796926
Less than 15000,0.44293115776149916,0.08510284803340953,-0.6281961576398432,-0.5032741591686154,-0.48077162624891506,-0.36025079483295624,0.6020712360771582
