,Veg less than 1 per day,Fruit less than 1 per day,+150m of PA,+150m of PA + strength,+300m of PA,+2 days Strength Training,No Phys Activity
Female,0.6861628403311346,0.345436676149127,-0.6177822889109055,-0.6125026584304529,-0.523692829422335,-0.5447403667987581,0.6172366745031314
Male,0.6412593266872959,0.07260453139329817,-0.6335884941798634,-0.6767277290111077,-0.5625373712791518,-0.5122936017705724,0.6129015738020982
