,Veg less than 1 per day,Fruit less than 1 per day,+150m of PA,+150m of PA + strength,+300m of PA,+2 days Strength Training,No Phys Activity
<High school,0.2630796506884939,-0.04087602806557054,-0.5601832410185295,-0.6113908236422364,-0.5805245518139381,-0.49900164397666974,0.5338740739318872
College,0.649566610297637,0.3832951852838396,-0.6028415592814619,-0.6185300971020713,-0.552335802506063,-0.543483047593017,0.5518126208960378
High school,0.43983842426318953,0.08342251376658372,-0.5383525908686967,-0.43437154323005667,-0.40821943649627523,-0.35882806255428895,0.5380159016552836
Some college/tech,0.5850384958433902,0.016961646650114622,-0.592346221586916,-0.6158737499786825,-0.5567455037748487,-0.48992314843206286,0.48490255744346217
