,Veg less than 1 per day,Fruit less than 1 per day,+150m of PA,+150m of PA + strength,+300m of PA,+2 days Strength Training,No Phys Activity
American Indian/Alaska Native,0.48241018213148507,0.41363771753731965,-0.0079635371538769,0.1932034104406382,-0.2536069010405517,-0.011697309884271707,-0.2577222726336694
Asian,0.4564355413947945,0.6458457988454778,-0.12936489344702987,-0.01579646484524234,0.4121856968214184,-0.05066260162503701,0.6234190681037999
Hawaiian/Pacific Islander,0.3030222354495252,0.2594395495970617,0.17717286056116338,-0.6768736581865106,0.0650064831246235,-0.2095667304059632,0.6938487087345366
Hispanic,0.2694265805749395,0.11670093902107583,-0.21894355381692301,-0.21386290055506638,-0.19915409739349407,-0.15451762803662245,0.2191510026547912
Non-Hispanic Black,0.042216217390777994,-0.14926725636873903,-0.6747339000445562,-0.6940712613795578,-0.552599591298029,-0.6615643181781096,0.49637944028024267
Non-Hispanic White,0.6807535646483064,0.7057405261893172,-0.8260313344769412,-0.8450927456247851,-0.7070177854587895,-0.8008735022702761,0.7939926208468516
Other,0.4049765792869014,0.349926801626177,-0.39523295228917504,-0.4143522543833106,-0.3280545098443782,-0.36652267907186065,0.4398116077702665
