locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,total_sample_size,strat_type
IA,"Less than $15,000",,,,,38.24423393739704,6070.0,income
ID,"$15,000 - $24,999",,,,,32.073615113672744,9369.0,income
ID,"$25,000 - $34,999",,,,,31.09731222385862,8148.0,income
ID,"$35,000 - $49,999",,,,,31.33,9750.0,income
ID,"$50,000 - $74,999",,,,,30.85844267790441,10441.0,income
ID,"$75,000 or greater",,,,,26.05004635352287,12944.0,income
ID,Data not reported,,,,,26.818165122963904,12524.0,income
ID,"Less than $15,000",,,,,32.349915872125635,5349.0,income
IL,"$15,000 - $24,999",,,,,34.43602932041248,8049.0,income
IL,"$25,000 - $34,999",,,,,32.58137637460092,5638.0,income
IL,"$35,000 - $49,999",,,,,32.27054253181514,7465.0,income
IL,"$50,000 - $74,999",,,,,32.0330260791367,8896.0,income
IL,"$75,000 or greater",,,,,27.918107954545455,17600.0,income
IL,Data not reported,,,,,28.10498703136053,8482.0,income
IL,"Less than $15,000",,,,,36.015464353712716,4727.0,income
IN,"$15,000 - $24,999",,,,,37.06859932497589,16592.0,income
IN,"$25,000 - $34,999",,,,,35.79308621407746,12005.0,income
IN,"$35,000 - $49,999",,,,,35.4498699045967,14989.0,income
IN,"$50,000 - $74,999",,,,,35.60225144203932,16123.0,income
IN,"$75,000 or greater",,,,,30.60721272433444,23514.0,income
IN,Data not reported,,,,,30.931276951509286,22726.0,income
IN,"Less than $15,000",,,,,37.769805160610844,9495.0,income
KS,"$15,000 - $24,999",,,,,35.56455888259182,22409.0,income
KS,"$25,000 - $34,999",,,,,35.2004305646392,18348.0,income
KS,"$35,000 - $49,999",,,,,34.880019071079495,25169.0,income
KS,"$50,000 - $74,999",,,,,34.39157739454182,28471.0,income
KS,"$75,000 or greater",,,,,29.810586360013662,43915.0,income
KS,Data not reported,,,,,28.921888372661694,32716.0,income
KS,"Less than $15,000",,,,,37.580928337319506,11289.0,income
KY,"$15,000 - $24,999",,,,,38.04448345035105,11964.0,income
KY,"$25,000 - $34,999",,,,,37.24521659618242,8749.0,income
KY,"$35,000 - $49,999",,,,,35.62536900369004,10840.0,income
KY,"$50,000 - $74,999",,,,,35.97237425726002,11949.0,income
KY,"$75,000 or greater",,,,,30.96129913933473,17196.0,income
KY,Data not reported,,,,,30.213481007181795,23114.0,income
KY,"Less than $15,000",,,,,37.23747875100653,11177.0,income
LA,"$15,000 - $24,999",,,,,39.223734713915924,11203.0,income
LA,"$25,000 - $34,999",,,,,37.55303684513529,6948.0,income
LA,"$35,000 - $49,999",,,,,37.70491301151679,8162.0,income
LA,"$50,000 - $74,999",,,,,36.89178017848756,8516.0,income
LA,"$75,000 or greater",,,,,34.002534340659345,14560.0,income
LA,Data not reported,,,,,31.248151833949393,14068.0,income
LA,"Less than $15,000",,,,,39.78038735270097,8571.0,income
MA,"$15,000 - $24,999",,,,,28.86085834578297,14726.0,income
MA,"$25,000 - $34,999",,,,,26.725848361450456,10314.0,income
MA,"$35,000 - $49,999",,,,,27.01997186018957,13504.0,income
MA,"$50,000 - $74,999",,,,,26.756567145841014,16278.0,income
MA,"$75,000 or greater",,,,,21.11064109165808,38840.0,income
MA,Data not reported,,,,,22.206876717581643,31294.0,income
MA,"Less than $15,000",,,,,31.216235195472176,9541.0,income
MD,"$15,000 - $24,999",,,,,34.889998802968634,16708.0,income
MD,"$25,000 - $34,999",,,,,34.048860878415404,12773.0,income
MD,"$35,000 - $49,999",,,,,35.182745935682924,16854.0,income
MD,"$50,000 - $74,999",,,,,33.023309141101564,22459.0,income
MD,"$75,000 or greater",,,,,28.191489828772138,54664.0,income
